,count,mean,std,min,25%,50%,75%,max,asimetrija,kurtosis
gdp_per_capita_ppp,209.0,32355.2557,31035.8145,1154.8869,7802.6699,21272.0801,50247.8492,155941.2882,1.4041,2.0787
unemployment_rate,209.0,6.8721,5.333,0.13,3.4,5.312,8.4,34.643,2.1616,6.4605
industry_pct_gdp,209.0,24.4212,11.948,2.0863,17.0688,23.0722,30.7201,76.0338,1.1436,2.6637
services_pct_gdp,209.0,57.9647,13.1256,14.4608,48.69,57.5256,66.1399,95.1498,0.2119,0.4234
agriculture_pct_gdp,209.0,9.65,10.0408,0.0151,1.7861,5.806,15.8602,43.06,1.2287,0.7058
rd_expenditure_pct_gdp,209.0,0.7918,1.014,0.0061,0.2144,0.3834,1.0498,6.3459,2.5419,8.3166
inflation_pct,209.0,7.8332,21.298,-12.297,1.999,2.9228,4.8491,219.8839,6.8353,56.3207
population_total,209.0,37947883.4211,145284672.1396,9646.0,1168722.0,6916140.0,27032412.0,1450935791.0,8.6497,80.6654
population_density,209.0,445.2263,2050.7665,0.1385,39.7182,93.0925,240.4906,20569.697,8.4459,75.4761
population_growth_pct,209.0,1.1048,1.3831,-5.3913,0.262,0.9844,1.9242,7.3227,0.157,4.0334
urban_population_pct,209.0,62.194,22.8506,14.6576,43.678,63.2377,79.444,100.0,-0.1725,-0.9314
fertility_rate,209.0,2.341,1.2001,0.582,1.445,1.892,3.1,6.028,1.128,0.63
pop_65_plus_pct,209.0,10.5399,7.295,1.6758,4.0359,8.239,16.7817,36.1666,0.6959,-0.5035
life_expectancy,209.0,73.9426,7.17,54.635,68.713,74.71,79.775,86.497,-0.4092,-0.6096
infant_mortality,209.0,17.5579,16.6225,1.2,4.7,11.0,27.0,71.9,1.3184,0.9975
health_expenditure_pct_gdp,209.0,6.9261,3.2083,1.3265,4.4916,6.8541,8.5071,27.0897,1.6405,7.1211
education_expenditure_pct_gdp,209.0,4.3264,1.9773,0.0,3.155,4.2249,5.2133,16.3905,1.746,7.9604
internet_users_pct,209.0,71.437,25.8527,6.671,57.4595,81.9571,91.2905,100.0,-0.9702,-0.282
electricity_access_pct,209.0,88.2593,22.4785,5.4,88.4,100.0,100.0,100.0,-1.998,3.0705
land_area_km2,209.0,639408.3636,1857333.412,2.0,11586.0,100210.0,462840.0,17098246.0,5.757,38.7353
